,source_mean,source_median,source_sum,source_rate,sky_mean,sky_median,sky_sum,sky_rate,target_mean,target_median,target_sum,target_rate,sc_area,bk_area,exposure_time,datetimes_sat,gains_sat,airmass,m_inst,m_inst_sky,calibed_mags,altitude,azimuth,utc,zenith_angle,km_distance,sunsep
54,47777.29465798656,47113.39306709913,18156697.752228223,6127530.780999957,46891.252130884,46886.240063974416,47879264.288142905,6015865.462524262,886.0425271025597,227.15300312471663,330879.3557196334,111665.31847569431,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:13.740,0,1.3526411765076887,-19.188832343462646,-16.877961085597146,2.085272003276239,47.22903867632895,60.93868970475377,2024-01-29 07:15:13.740,42.77096132367105,514.9681543114658,109.50608075647877
55,47451.76576876802,46810.36518910126,18031879.967167992,6085407.216990144,46646.04513646984,46634.56517835906,47626356.23534298,5984088.43247474,805.7206322981801,175.8000107422049,300221.1841633767,101318.78451540487,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:14.690,0,1.3467377604583817,-19.08326149891637,-16.872268581555694,2.1929549198647824,47.50202556969856,61.469696676372465,2024-01-29 07:15:14.690,42.49797443030144,510.39332971752526,109.37827294579613
56,47387.73103352692,46692.223713646534,18006360.06037338,6076794.74700545,46455.948046043064,46454.44430650186,47430811.30784431,5959518.882520264,931.7829874838571,237.77940714467695,347504.1580682695,117275.86448518584,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:15.547,0,1.3414972871106556,-19.242058178677897,-16.867834829425103,2.0360331303623096,47.74757606816994,61.956892236818746,2024-01-29 07:15:15.547,42.25242393183006,506.3049759101981,109.26142097732102
57,47139.61826242361,46454.52721712538,17913270.492679823,6045378.83651246,46219.53346761137,46219.05633276303,47192947.78758687,5929632.146422993,920.0847948122391,235.47088436235208,342973.00868594274,115746.69008946685,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:16.497,0,1.3357827725341167,-19.22780802301001,-16.862295404763007,2.052327774572329,48.018875386502046,62.5061618912577,2024-01-29 07:15:16.497,41.981124613497954,501.8168911785614,109.13015659371128
58,47004.80336449633,46278.94946214735,17860466.55214069,6027558.538161572,46026.88730970871,46042.44363385769,46993281.18020758,5904544.721517638,977.9160547876163,236.50582828965707,364506.4819711,123013.81664393343,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:17.362,0,1.330666462971351,-19.29392130419718,-16.857760525021142,1.9880449614221136,48.264980442826925,63.014833184978926,2024-01-29 07:15:17.362,41.735019557173075,497.7715639512335,109.00904735342498
59,46617.44022696955,46006.10147299509,17714879.36396388,5978425.706352265,45772.204721185255,45766.67702835666,46733489.43302744,5871902.778861538,845.2355057842942,239.42444463843276,315641.75966751203,106522.92749072796,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:18.420,0,1.324521707647932,-19.13764430453552,-16.8517360903471,2.146520377359499,48.564661976079144,63.64825307528207,2024-01-29 07:15:18.420,41.435338023920856,492.87846938925156,108.85884921285803
60,46340.10563363502,45771.99431472081,17608020.06215194,5942362.779600705,45544.8467022831,45540.64357273865,46499125.89145702,5842455.803090912,795.2589313519202,231.3507419821617,296037.80717870966,99906.97650979283,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:19.395,0,1.3189696955921022,-19.068026111456714,-16.846329622687694,2.218124920264154,48.839388435273335,64.243116439032,2024-01-29 07:15:19.395,41.160611564726665,488.4241197946944,108.71841469897164
61,46295.94857160481,45561.290638384664,17592536.73292665,5937137.4584704535,45322.51217649087,45317.728460252314,46274579.83656407,5814242.360874109,973.4363951139385,243.5621781323498,364154.70146741346,122895.09759634503,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:20.249,0,1.314194310145524,-19.292872968242595,-16.841016446890897,1.9949865586967253,49.07876482753693,64.77306267166651,2024-01-29 07:15:20.249,40.92123517246307,484.5669887005269,108.59381347683815
62,45969.41445944284,45369.251478686514,17469103.803490818,5895481.256179249,45167.11127891598,45182.55723560059,46115907.35281112,5794305.707104374,802.303180526862,186.69424308592716,299796.75829036906,101175.54907487506,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:21.094,0,1.3095501040237423,-19.081725496137746,-16.837287300052274,2.2077955938400615,49.31436158946975,65.30572087410327,2024-01-29 07:15:21.094,40.68563841053025,480.79235995387444,108.46905695735522
63,45856.67332118514,45136.428017153354,17425888.318051305,5880896.8741038265,44922.14197680289,44912.00061474439,45868415.373384245,5763209.1881118165,934.5313443822452,224.42740240896092,348724.4405759387,117687.6859920092,380.132711084365,1021.0176124166828,0.007795,2024-01-29T07:15:22.046,0,1.3044145529636921,-19.245864130510046,-16.831382651356034,2.0454943115576327,49.57816880614392,65.9158417076372,2024-01-29 07:15:22.046,40.42183119385608,476.59086919585855,108.32675108133392
